,Latitude,Longitude
Olive Garden,39.310712,-84.488338
Omega Transporters LLC,39.2152836,-84.5597877
Osage School,39.1089483,-84.5671662
Precision Construction,39.309959,-84.491826
Queen City Ave & East Tower Dr,39.131777,-84.59293199999999
Queen City Ave & Gehrum Ln,39.131599,-84.592698
Queen City Ave 2744,39.133542,-84.59366
Queen City Ave 2767,39.133373,-84.593764
Queen City Rugby Club Estate,39.1078231,-84.567655
"Randstad Staffing, Erlanger Ky",39.22693,-84.5338317
Rebeccas,39.179102,-84.560496
Rescue Roofing,39.2172665,-84.48440790000001
Rex Ralph Center,39.239072,-84.5351249
Sabor Peruano - Ceviche/Seafood - Steakhouse - Bar - Dancing,39.3083801,-84.48827759999999
Saint Anthony Monastery,39.1772806,-84.5607777
Saint Paul AME Church,39.31137409999999,-84.4882884
Salvation Army,39.1100485,-84.5685457
Sanran Marketing Group,39.213615,-84.558393
Savannah Market,39.21460930000001,-84.5540158
Schwartz Construction,39.225489,-84.527188
Seven Hills Church of God,39.274606,-84.569593
Shell,39.2771,-84.5664
Shidler Merrill J MD,39.212753,-84.4811048
Slopes of Aspen,39.1323241,-84.59284629999999
St Anthony Shrine and Friary,39.176929,-84.56103619999999
Star One Realtors,39.308343,-84.492108
Star One Title Agency,39.3083436,-84.4921476
Stephen Concrete & Construction,39.31232529999999,-84.4898626
Tandy Leather Cincinnati-162,39.30815279999999,-84.48869370000001
The Views of Mount Airy,39.179102,-84.560496
Threetwenty Media,39.31012399999999,-84.488933
Total Quality Child Care Center,39.278536,-84.57037799999999
Tower Place Apartments,39.1312715,-84.5938696
U C Comprehensive Sleep Center,39.2127451,-84.4806943
U-Haul Neighborhood Dealer,39.2766492,-84.5642228
UC Health Drake Center,39.2127533,-84.48111310000002
"United Window Cleaning Company, Inc.",39.110551,-84.568437
Vantage Pointe West Apartments,39.1312243,-84.5934869
Virtual Resource Social Media Management,39.236213,-84.538001
Warsaw Federal Savings & Loan,39.11024819999999,-84.569971
Washington County Road Department,39.21852519999999,-84.48142299999999
Watson Albert L,39.2296094,-84.52940699999999
Western Union,39.1099809,-84.5678035
Westside Heating & Air Conditioning,39.1057645,-84.5697624
Williamsburg of Cincinnati Apartments & Townhomes,39.2142096,-84.4828059
Your Better Homes Appliance,39.2772122,-84.5686286
